link,Subject,id,author
067712.html,[Rd] Version of L-BFGS-B used in optim etc,67712,Prof J C Nash (U30A)
067720.html,[Rd] user defined macros in Rd files,67720,R. Michael Weylandt &lt;michael.weylandt at gmail.com&gt;
067615.html,"[Rd] For numeric x, as.character(x) doesn't always match signif(x,	15)",67615,Suharto Anggono Suharto Anggono
067834.html,[Rd] R 3.1.0 and C++11,67834,Whit Armstrong
067745.html,[Rd] Internally accessing ref class methods with .self$x is different from .self[['x']],67745,Gabriel Becker
067747.html,[Rd] Internally accessing ref class methods with .self$x is different from .self[['x']],67747,Gabriel Becker
067768.html,[Rd] Question about selective importing of package functions...,67768,Gabriel Becker
067785.html,[Rd] Assigning empty symbol to variable.,67785,Gabriel Becker
067786.html,[Rd] Assigning empty symbol to variable.,67786,Gabriel Becker
067852.html,[Rd] Huge performance difference between implicit and explicit	print,67852,Gabriel Becker
067800.html,[Rd] possible Sweave problem in rdevel build on Debian 6.0.8?,67800,Skye Bender-deMoll
067803.html,[Rd] possible Sweave problem in rdevel build on Debian 6.0.8?,67803,Skye Bender-deMoll
067807.html,[Rd] appropriate work-around for problems with a specific plot device (Rstudio)?,67807,Skye Bender-deMoll
067657.html,[Rd] read.table() with quoted integers,67657,Henrik Bengtsson
067660.html,[Rd] read.table() with quoted integers,67660,Henrik Bengtsson
067698.html,[Rd] http://r.research.att.com/ (daily R binaries for OSX) seems to	be down,67698,Henrik Bengtsson
067710.html,[Rd] user defined macros in Rd files,67710,Henrik Bengtsson
067715.html,[Rd] install.packages() removes package on Windows,67715,Henrik Bengtsson
067722.html,[Rd] user defined macros in Rd files,67722,Henrik Bengtsson
067723.html,[Rd] Compatibility with R 2.15.x: Makefile for (non-Sweave)	vignettes in vignettes/?,67723,Henrik Bengtsson
067724.html,[Rd] reg.finalizer(): Is it safe for the finalizer function to attach/load a package?,67724,Henrik Bengtsson
067726.html,[Rd] Compatibility with R 2.15.x: Makefile for (non-Sweave) vignettes in vignettes/?,67726,Henrik Bengtsson
067818.html,[Rd] advise on Depends,67818,Henrik Bengtsson
067631.html,[Rd] version comparison puzzle,67631,Ben Bolker
067729.html,[Rd] Q-Q plot scaling in plot.lm(); bug or thinko?,67729,Ben Bolker
067653.html,[Rd] read.table() with quoted integers,67653,Milan Bouchet-Valat
067654.html,[Rd] read.table() with quoted integers,67654,Milan Bouchet-Valat
067756.html,[Rd] Suggestions for an &quot;official&quot; place to store permissions/options for a package?,67756,Milan Bouchet-Valat
067808.html,[Rd] appropriate work-around for problems with a specific plot device (Rstudio)?,67808,Milan Bouchet-Valat
067623.html,[Rd] C++ debugging help needed,67623,Ross Boylan
067626.html,[Rd] C++ debugging help needed,67626,Ross Boylan
067740.html,[Rd] [Rocks-Discuss] Two R editiosn in Unix cluster systems,67740,Adam Brenner
067636.html,[Rd] check warning  with .onLoad() and setClass(),67636,John Chambers
067662.html,[Rd] check warning  with .onLoad() and setClass(),67662,John Chambers
067753.html,[Rd] Possible problem with namespaceImportFrom() and methods	for generic primitive functions,67753,John Chambers
067816.html,[Rd] advise on Depends,67816,John Chambers
067820.html,[Rd] advise on Depends,67820,John Chambers
067842.html,"[Rd] unloadNamespace, getPackageName and &quot;Created a package name xxx &quot; warning",67842,John Chambers
067744.html,[Rd] Internally accessing ref class methods with .self$x is	different from .self[['x']],67744,Winston Chang
067746.html,[Rd] Internally accessing ref class methods with .self$x is different from .self[['x']],67746,Winston Chang
067642.html,[Rd] Possible POSIXlt / wday glitch &amp; bugs.r-project.org status,67642,Imanuel Costigan
067665.html,[Rd] Possible POSIXlt / wday glitch &amp; bugs.r-project.org status,67665,Imanuel Costigan
067667.html,[Rd] Possible POSIXlt / wday glitch &amp; bugs.r-project.org status,67667,Imanuel Costigan
067675.html,[Rd] Possible POSIXlt / wday glitch &amp; bugs.r-project.org status,67675,Imanuel Costigan
067663.html,[Rd] Allow semantic versioning for packages,67663,G&#225;bor Cs&#225;rdi
067671.html,[Rd] Allow semantic versioning for packages,67671,G&#225;bor Cs&#225;rdi
067674.html,[Rd] Allow semantic versioning for packages,67674,G&#225;bor Cs&#225;rdi
067691.html,[Rd] Allow semantic versioning for packages,67691,G&#225;bor Cs&#225;rdi
067696.html,[Rd] Allow semantic versioning for packages,67696,G&#225;bor Cs&#225;rdi
067833.html,[Rd] Package size NOTE in R CMD check,67833,G&#225;bor Cs&#225;rdi
067837.html,"[Rd] Imports, importFrom slow (for Matrix)",67837,G&#225;bor Cs&#225;rdi
067839.html,"[Rd] Imports, importFrom slow (for Matrix)",67839,G&#225;bor Cs&#225;rdi
067840.html,"[Rd] Imports, importFrom slow (for Matrix)",67840,G&#225;bor Cs&#225;rdi
067700.html,[Rd] How to write R data frame to HDFS using rhdfs?,67700,Gaurav Dasgupta
067713.html,[Rd] Replacing the Random Number Generator in Stand Alone Library,67713,Nigel Delaney
067739.html,[Rd] FW: Replacing the Random Number Generator in Stand Alone	Library,67739,Nigel Delaney
067702.html,[Rd] Version of L-BFGS-B used in optim etc,67702,David Duffy
067728.html,[Rd] how to prevent default argument values from being found,67728,William Dunlap
067620.html,[Rd] C++ debugging help needed,67620,Dirk Eddelbuettel
