link,Subject,id,author
047538.html,[Rd] unexpected result from reshape,47538,"Antonio, Fabio Di Narzo"
047539.html,[Rd] unexpected result from reshape,47539,"Antonio, Fabio Di Narzo"
047540.html,[Rd] patch proposal for plot.ts,47540,"Antonio, Fabio Di Narzo"
047454.html,[Rd] Help about nnet library,47454,Pierre-Henri BUSSIERE
047347.html,[Rd] Saving Graphics File as .ps or .pdf (PR#10403),47347,Jane_Harvill at Baylor.Edu
047344.html,[Rd] Hmisc for Mac OSX.,47344,Ken Beath
047479.html,[Rd] isOpen on closed connections,47479,Henrik Bengtsson
047501.html,[Rd] C/C++ 'assert' should not be used in R packages,47501,Henrik Bengtsson
047578.html,[Rd] R install problem on MacOS 10.5.1 (PR#10476),47578,Saleem Bhatti
047579.html,[Rd] R install problem on MacOS 10.5.1 (PR#10476),47579,Saleem Bhatti
047498.html,[Rd] Returning vectors of two different data types back to R environment (from C).,47498,Roger Bivand
047496.html,[Rd] re sponses to issues on r-devel,47496,Ben Bolker
047542.html,[Rd] Bug in package stats function ar() (PR#10459),47542,Ben Bolker
047546.html,[Rd]  r-forge http server down?,47546,Ben Bolker
047569.html,[Rd] reading and writing to Google spreadsheets,47569,Farrel Buchinsky
047311.html,[Rd] RPM Key in Readme file,47311,Joe W. Byers
047319.html,[Rd] RPM Key in Readme file,47319,Joe W. Byers
047400.html,[Rd] make check-all fails on F8,47400,Tom &quot;spot&quot; Callaway
047519.html,[Rd] Color coding,47519,Gasper Cankar
047432.html,[Rd] slots of type &quot;double&quot;,47432,John Chambers
047316.html,[Rd] daylight saving / time zone issues with as.POSIXlt/as.POSIXct (PR#10392),47316,Peter Dalgaard
047354.html,[Rd] Saving Graphics File as .ps or .pdf (PR#10403),47354,Peter Dalgaard
047363.html,[Rd] A suggestion for an amendment to tapply,47363,Peter Dalgaard
047366.html,[Rd] Saving Graphics File as .ps or .pdf (PR#10403),47366,Peter Dalgaard
047391.html,[Rd] Col.names parameter in write.csv (PR#10411),47391,Peter Dalgaard
047506.html,[Rd] 2.6.1 scheduled for November 26,47506,Peter Dalgaard
047543.html,[Rd] unexpected result from reshape,47543,Peter Dalgaard
047557.html,[Rd] Postscript saving failed. (PR#10473),47557,Peter Dalgaard
047571.html,[Rd] Problem with points/lines (PR#10472),47571,Peter Dalgaard
047573.html,[Rd] Problem with points/lines (PR#10472),47573,Peter Dalgaard
047576.html,[Rd] Problem with points/lines (PR#10472),47576,Peter Dalgaard
047547.html,[Rd] pcalg: labels,47547,Peter Danenberg
047497.html,[Rd] Returning vectors of two different data types back to R	environment (from C).,47497,Charles Danko
047566.html,[Rd] ?eigen documentation suggestion,47566,Dan Davison
047412.html,[Rd] C/C++ 'assert' should not be used in R packages,47412,Bill Dunlap
047455.html,[Rd] library path in Rd link,47455,Adrian Dusa
047500.html,[Rd] library path in Rd link,47500,Adrian Dusa
047464.html,[Rd] library path in Rd link,47464,Adrian Dusa
