link,Subject,id,author
052513.html,[Rd] S4 generic masking S3 generic when using namespace,52513,Gad Abraham
052538.html,[Rd] S4 generic masking S3 generic when using namespace,52538,Gad Abraham
052686.html,[Rd] question on &quot;row.names&quot; attribute of dataframe when called	from a compiled package,52686,Whit Armstrong
052867.html,[Rd] what is the preferred method to create a package local	variable?,52867,Whit Armstrong
052800.html,[Rd] linking environments,52800,Joerg Betzin
052718.html,[Rd] using R with java,52718,Bilel
052866.html,[Rd] Gamma funtion(s) bug,52866,Ben Bolker
052809.html,[Rd] Building R-alpha with ATLAS libraries?,52809,M. Edward (Ed) Borasky
052427.html,[Rd] Chunk of text won't show up when compiling Rd file,52427,Ben Bryant
052509.html,[Rd] Chunk of text won't show up when compiling Rd file,52509,Ben Bryant
052441.html,[Rd] array subsetting of S4 object that inherits from &quot;array&quot;,52441,Bradley Buchsbaum
052470.html,[Rd] question,52470,Patrick Burns
052698.html,[Rd] R thread safe,52698,Ted Byers
052484.html,[Rd] S4 objects for S3 methods,52484,Yohan Chalabi
052520.html,[Rd] A Design Error (Re:  S4 objects for S3 methods),52520,Yohan Chalabi
052548.html,[Rd] Could you please add &quot;time&lt;-&quot; as a generic function in the 'stats' package ?,52548,Yohan Chalabi
052561.html,[Rd] Could you please add &quot;time&lt;-&quot; as a generic function in the 'stats' package ?,52561,Yohan Chalabi
052619.html,[Rd] Could you please add &quot;time&lt;-&quot; as a generic function in the 'stats' package ?,52619,Yohan Chalabi
052697.html,[Rd] Why S4 methods of S3 'base' generics are not used in 'base' functions ?,52697,Yohan Chalabi
052418.html,[Rd] methods package,52418,John Chambers
052453.html,[Rd] S4 objects for S3 methods,52453,John Chambers
052498.html,[Rd] A Design Error (Re:  S4 objects for S3 methods),52498,John Chambers
052555.html,[Rd] Could you please add &quot;time&lt;-&quot; as a generic function in the 'stats' package ?,52555,John Chambers
052566.html,[Rd] Could you please add &quot;time&lt;-&quot; as a generic function in the 'stats' package ?,52566,John Chambers
052625.html,[Rd] Could you please add &quot;time&lt;-&quot; as a generic function in the 'stats' package ?,52625,John Chambers
052680.html,[Rd] exporting s3 and s4 methods,52680,John Chambers
052689.html,[Rd] exporting s3 and s4 methods,52689,John Chambers
052708.html,[Rd] Why S4 methods of S3 'base' generics are not used in 'base' functions ?,52708,John Chambers
052709.html,[Rd] exporting s3 and s4 methods,52709,John Chambers
052829.html,[Rd] Recent setClass fails where previous succeeded,52829,John Chambers
052385.html,[Rd] Fontconfig warning with X11() on MAC OS X 10.4,52385,Merlise Clyde
052852.html,[Rd] external equiv to R_serialize()?,52852,Joe Conway
052869.html,[Rd] external equiv to R_serialize()?,52869,Joe Conway
052880.html,[Rd] external equiv to R_serialize()?,52880,Joe Conway
052412.html,[Rd] Two documentation questions,52412,Kevin R. Coombes
052358.html,[Rd] Distance between clusters,52358,Corrado
052705.html,[Rd] R thread safe,52705,Nicholas L Crookston
052486.html,[Rd] Windows builder down,52486,G&#225;bor Cs&#225;rdi
052395.html,[Rd] bug (PR#13570),52395,Peter Dalgaard
052407.html,[Rd] bug (PR#13570),52407,Peter Dalgaard
052446.html,[Rd] bug (PR#13570),52446,Peter Dalgaard
052488.html,[Rd] patch for 'merge' docs,52488,Peter Dalgaard
052492.html,[Rd] bug of *switch* function,52492,Peter Dalgaard
052507.html,[Rd] E`&lt;`&lt;rrors in recursive default argument references,52507,Peter Dalgaard
052516.html,[Rd] r-devel tarball build failure on windows,52516,Peter Dalgaard
052524.html,[Rd] surprising behaviour of names&lt;-,52524,Peter Dalgaard
052732.html,[Rd] Why does the lexical analyzer drop comments ?,52732,Peter Dalgaard
052772.html,[Rd] dput(as.list(function...)...) bug,52772,Peter Dalgaard
052804.html,[Rd] get_all_vars fails with matrices (PR#13624),52804,Peter Dalgaard
052674.html,[Rd] R freeze when loading dll with dyn.load,52674,Morel Didier
052425.html,[Rd] bug (PR#13570),52425,Mark Difford
052605.html,[Rd] surprising behaviour of names&lt;-,52605,William Dunlap
052710.html,[Rd] Match .3 in a sequence,52710,William Dunlap
